          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    9.33   1  0.01    59.08  34  1.94 
   15.28  12  0.18   117.93  38  4.42 
    8.00   1  0.00   235.16  48 10.93 
   15.46  53  0.80   157.14  95 14.51 
    8.00   1  0.00   394.77  37 14.34 
    8.00   0  0.00   165.12  95 15.38 
   74.86  29  2.10   828.90  34 27.19 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  256.67   2  0.60   690.85  37 24.95 
  516.00   1  0.40   683.09  37 24.54 
  266.50   2  0.42   549.56  70 37.35 
  237.37  34  7.83   567.58  72 39.89 
   13.44  11  0.15   415.11  95 38.34 
   38.00   1  0.04   772.23  24 18.10 
   18.00   1  0.02   504.97  14  6.90 
  326.40   1  0.32   508.89  32 15.70 
   12.91  32  0.40   459.91   9  3.95 
   12.00   0  0.00   419.76  10  4.18 
   14.48  26  0.36   267.11  65 16.95 
    8.00   0  0.00   177.61  24  4.23 
   10.44   4  0.04   462.49   9  4.06 
    8.00   1  0.01   849.36  35 28.85 
   43.47   3  0.13   805.51  49 38.37 
    0.00   0  0.00   722.69  50 35.28 
    8.00   0  0.00   715.96  55 38.72 
   12.68   8  0.09   209.67  98 20.15 
    4.00   0  0.00   414.23  10  4.21 
    0.00   0  0.00   406.64  11  4.21 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    8.00   0  0.00   269.67  59 15.42 
   14.09   5  0.06   455.02   9  4.00 
   34.61   5  0.16   374.28  12  4.24 
   11.93   6  0.07   208.76  82 16.79 
    0.00   0  0.00   281.82  15  4.24 
    0.00   0  0.00   476.55   9  4.09 
    0.00   0  0.00   814.69  45 35.94 
    0.00   0  0.00   579.85  60 33.96 
    4.53   3  0.01   674.14  61 40.42 
    8.00   1  0.00   559.04  67 36.46 
    0.00   0  0.00   533.08  68 35.49 
   15.71   3  0.04   519.27  63 31.74 
   24.95  60  1.46   328.29  83 26.61 
    0.00   0  0.00   655.43  23 14.46 
    8.00   0  0.00   231.98  19  4.21 
    8.00   0  0.00   440.34   9  4.04 
    4.00   0  0.00   567.67  26 14.63 
    8.00   0  0.00   431.33  10  4.04 
   22.65   8  0.18   104.38  52  5.32 
   14.67   1  0.01   643.58  56 35.05 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    4.00   0  0.00   712.66  57 39.53 
   16.00   0  0.01   577.50  69 38.66 
    0.00   0  0.00   610.99  66 39.36 
    4.00   0  0.00   645.69  63 39.47 
    8.00   0  0.00   650.17  61 38.47 
    0.00   0  0.00   688.58  63 42.48 
   11.87   3  0.03   278.60  84 22.74 
    8.00   0  0.00   672.96  23 15.38 
    0.00   0  0.00   527.22  10  5.25 
    0.00   0  0.00   509.96  10  5.08 
    8.00   0  0.00   766.93  21 15.72 
    8.00   0  0.00   385.18  14  5.34 
   20.85   8  0.16    95.19  73  6.82 
    0.00   0  0.00   747.48  21 15.61 
   12.49   8  0.10   831.75  52 42.06 
    0.00   0  0.00   678.67  61 40.55 
    4.00   0  0.00   708.84  58 40.28 
    8.00   0  0.00   632.43  65 40.13 
    0.00   0  0.00   575.36  69 38.77 
    4.00   0  0.00   572.02  70 39.32 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   27.58  17  0.46   620.21  64 38.64 
    5.00   1  0.00   600.99  60 35.21 
   17.02  18  0.31   448.16  76 33.07 
    0.00   0  0.00   755.19  34 25.37 
    0.00   0  0.00   295.18  16  4.50 
    0.00   0  0.00   439.27  10  4.20 
    8.00   0  0.00   697.37  16 11.16 
   44.73   2  0.10   867.16  51 43.35 
    8.00   0  0.00   706.51  59 40.98 
    0.00   0  0.00   551.64  73 39.30 
    0.00   0  0.00   582.39  67 37.87 
    0.00   0  0.00   638.10  62 38.49 
    0.00   0  0.00   549.77  65 34.98 
    0.00   0  0.00   525.43  62 31.69 
   10.38   3  0.03   570.17  59 33.06 
    4.00   0  0.00   618.73  60 36.13 
    0.00   0  0.00   634.42  60 37.04 
    9.71   6  0.05   622.05  59 35.82 
    8.00   0  0.00   565.13  57 31.56 
   39.33   2  0.09    47.42  52  2.41 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   27.31  48  1.29    46.26  78  3.50 
   24.16  40  0.94    35.83  53  1.85 
   13.20   2  0.03    39.44  52  1.99 
    8.00   0  0.00    45.10  52  2.27 
    0.00   0  0.00    44.10  49  2.10 
    8.00   1  0.01    49.13  48  2.31 
   12.88  19  0.23    49.85  72  3.51 
    8.00   0  0.00    35.04  47  1.60 
    0.00   0  0.00    39.30  44  1.67 
    8.00   0  0.00   206.92  47  9.54 
    8.00   0  0.00    35.17  46  1.59 
    0.00   0  0.00    30.37  52  1.54 
    9.53   3  0.03    59.22  59  3.39 
    8.00   0  0.00    32.15  43  1.35 
    0.00   0  0.00    38.33  42  1.56 
    8.00   0  0.00    52.60  41  2.13 
    0.00   0  0.00    53.29  41  2.12 
    6.00   0  0.00    47.58  40  1.86 
    4.53   9  0.04    71.74  52  3.63 
   15.13  21  0.31    27.34  53  1.40 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   29.71  39  1.13    29.03  44  1.24 
    0.00   0  0.00   583.90  48 27.14 
    0.00   0  0.00   637.30  54 33.71 
    0.00   0  0.00   684.37  54 35.94 
    8.00   0  0.00   640.40  57 35.38 
    8.00   0  0.00   571.09  60 33.67 
  342.67   3  1.00   552.73  61 33.14 
   28.80   5  0.14   443.33  68 29.43 
  512.00   1  0.40   431.00  67 28.19 
    0.00   0  0.00   475.69  64 29.90 
   24.47   3  0.08   292.33  89 25.40 
  208.80   2  0.41   421.61  73 29.88 
   35.36   9  0.32   167.36 135 22.09 
    0.00   0  0.00   234.87 118 27.02 
    0.00   0  0.00   265.70  99 25.62 
  143.75   6  0.90   366.27  77 27.46 
  438.86   1  0.60    86.98 169 14.35 
    0.00   0  0.00    91.57 166 14.81 
  512.00   1  0.40   160.84 143 22.45 
  143.07   3  0.42    43.83  26  1.11 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  512.00   1  0.40    74.45  27  1.99 
    0.00   0  0.00    81.21  27  2.14 
  512.00   1  0.40    93.94  25  2.31 
  512.00   1  0.40   282.63  29  7.89 
  512.00   1  0.40    70.61  24  1.67 
  134.38   3  0.42    72.81  37  2.66 
    0.00   0  0.00    86.45  21  1.79 
  512.00   1  0.40    85.34  24  1.98 
   53.21  25  1.31    93.49  23  2.06 
  512.00   1  0.40   114.94  19  2.11 
    0.00   0  0.00   308.00  27  8.18 
   43.87  16  0.68    67.35  34  2.26 
  512.00   1  0.40    87.17  19  1.63 
  512.00   1  0.40   118.11  19  2.19 
   61.75   6  0.39   120.69  19  2.19 
  512.00   1  0.40   124.99  17  2.07 
  295.43   1  0.40   114.67  17  1.88 
   62.72   8  0.48   209.44  41  8.30 
    4.00   0  0.00    76.78  18  1.38 
  512.00   1  0.40   139.47  15  2.04 
          disk0           disk1 
