          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  438.07  77 33.11     0.00   0  0.00 
  335.74  95 31.08     0.00   0  0.00 
  434.99  75 31.77     0.00   0  0.00 
  475.91  64 29.83     0.00   0  0.00 
  476.96  67 31.39     0.00   0  0.00 
  307.24 116 34.68     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  536.77  66 34.48     0.00   0  0.00 
  546.84  61 32.79     0.00   0  0.00 
  627.79  86 52.47     0.00   0  0.00 
  705.82  77 53.34     0.00   0  0.00 
  497.27  63 30.39     0.00   0  0.00 
  353.12 106 36.41     0.00   0  0.00 
  517.73  52 26.18     0.00   0  0.00 
  587.85  60 34.55     0.00   0  0.00 
  486.40  68 32.30     0.00   0  0.00 
  481.70  45 21.07     0.00   0  0.00 
  153.97 159 23.90     0.00   0  0.00 
  252.95 106 26.08     0.00   0  0.00 
  559.02  53 29.03     0.00   0  0.00 
  563.14  56 30.79     0.00   0  0.00 
  414.07  63 25.31     0.00   0  0.00 
  431.80  71 29.76     0.00   0  0.00 
  360.73  81 28.53     0.00   0  0.00 
  423.69  72 29.62     0.00   0  0.00 
  369.05  58 21.05     0.00   0  0.00 
  336.35  83 27.12     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  456.52  59 26.12     0.00   0  0.00 
  455.24  43 19.11     0.00   0  0.00 
  466.74  60 27.44     0.00   0  0.00 
  439.19  62 26.76     0.00   0  0.00 
  274.76 104 27.90     0.00   0  0.00 
  495.35  63 30.57     0.00   0  0.00 
  490.43  61 29.12     0.00   0  0.00 
  420.53  63 25.87     0.00   0  0.00 
  203.40 113 22.36     0.00   0  0.00 
  438.04  56 24.03     0.00   0  0.00 
  286.23  89 24.76     0.00   0  0.00 
  378.11  57 20.97     0.00   0  0.00 
  347.76  73 24.65     0.00   0  0.00 
  302.08  81 23.77     0.00   0  0.00 
  440.48  51 22.11     0.00   0  0.00 
  403.55  57 22.38     0.00   0  0.00 
   71.29 390 27.13     0.00   0  0.00 
  310.30  66 20.12     0.00   0  0.00 
  245.54 116 27.91     0.00   0  0.00 
  375.47  77 28.23     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  175.43 163 27.92     8.00   0  0.00 
  227.29 164 36.48     0.00   0  0.00 
  227.13 160 35.44     0.00   0  0.00 
  368.69  85 30.53     0.00   0  0.00 
  279.16 111 30.37     0.00   0  0.00 
  296.55  76 21.95     0.00   0  0.00 
  314.77  80 24.71     0.00   0  0.00 
  290.12  93 26.46     0.00   0  0.00 
  223.79 104 22.77     0.00   0  0.00 
  278.64  55 15.02     0.00   0  0.00 
  180.78 101 17.79     0.00   0  0.00 
  264.26  95 24.51     0.00   0  0.00 
  245.36 104 24.87     0.00   0  0.00 
  238.04 112 25.94     0.00   0  0.00 
  126.50 154 19.02     0.00   0  0.00 
  256.92 115 28.85     0.00   0  0.00 
  233.66 106 24.23     0.00   0  0.00 
  302.74  81 24.00     0.00   0  0.00 
  303.24  89 26.24     0.00   0  0.00 
  289.12  92 26.09     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  210.08 114 23.39     0.00   0  0.00 
  269.69  94 24.86     0.00   0  0.00 
  149.22 143 20.89     0.00   0  0.00 
  254.52  90 22.36     0.00   0  0.00 
  284.36  91 25.27    14.69   4  0.05 
  271.75  80 21.34    18.62  75  1.36 
  172.22 148 24.86    75.11   8  0.56 
  232.59  94 21.26    46.87   8  0.36 
  316.85  60 18.62     0.00   0  0.00 
  271.20  92 24.36     0.00   0  0.00 
  338.28  90 29.73     0.00   0  0.00 
  311.77  84 25.63     0.00   0  0.00 
  250.69 100 24.48   512.12   1  0.40 
  142.86 119 16.57   409.35   2  0.80 
  248.28  88 21.24     0.00   0  0.00 
  236.33 133 30.60     0.00   0  0.00 
  203.97 118 23.46     0.00   0  0.00 
  212.74 118 24.51     0.00   0  0.00 
  192.66 118 22.24     0.00   0  0.00 
  158.79 196 30.39   509.38   3  1.29 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  125.88 164 20.18     0.00   0  0.00 
  239.80 110 25.66     0.00   0  0.00 
  221.03 111 23.91     0.00   0  0.00 
  243.22 115 27.41     0.00   0  0.00 
  231.27 124 28.00     0.00   0  0.00 
  152.02 179 26.57   426.92   3  1.08 
  210.01  79 16.24     0.00   0  0.00 
  242.99  89 21.21     0.00   0  0.00 
   27.93 837 22.83     0.00   0  0.00 
   50.45 886 43.62     0.00   0  0.00 
  174.07 178 30.32     0.00   0  0.00 
  163.85 119 18.98   470.43   3  1.29 
  367.45  53 18.94     0.00   0  0.00 
  303.37  75 22.15     0.00   0  0.00 
  356.18  69 24.14     0.00   0  0.00 
  418.51  65 26.40     0.00   0  0.00 
  372.13  66 24.13     0.00   0  0.00 
  147.62 173 24.88   525.08   3  1.33 
  360.89  60 21.14     0.00   0  0.00 
  313.69  79 24.32     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  359.24  67 23.57     0.00   0  0.00 
  387.53  56 21.34     0.00   0  0.00 
  348.60  59 20.02     0.00   0  0.00 
  355.58  59 20.62   539.85   3  1.37 
  201.41 137 26.98     0.00   0  0.00 
  428.54  65 27.37     0.00   0  0.00 
  447.59  71 30.94     0.00   0  0.00 
  422.39  74 30.68     0.00   0  0.00 
  358.74  88 30.82     0.00   0  0.00 
  315.69  74 22.74     0.00   0  0.00 
  187.88 129 23.66   392.55   2  0.84 
  289.83  76 21.45     0.00   0  0.00 
  147.25 175 25.16     0.00   0  0.00 
  407.40  63 24.90     0.00   0  0.00 
  386.15  66 24.96     0.00   0  0.00 
  422.01  63 26.04     0.00   0  0.00 
  275.53  98 26.26    77.54  16  1.18 
  511.15  50 24.76     0.00   0  0.00 
  393.99  74 28.62     0.00   0  0.00 
  483.89  57 27.02     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  110.01 173 18.54    10.70  15  0.16 
  173.79 147 24.95     5.56   4  0.02 
  182.81 167 29.88    12.15   3  0.03 
   64.95 301 19.07     4.00   1  0.00 
   50.49 404 19.92     4.00   1  0.00 
   45.57 476 21.17     0.00   0  0.00 
   63.05 346 21.31     0.00   0  0.00 
   92.18 209 18.83    55.67   7  0.39 
   96.86 256 24.25    12.20   2  0.02 
  274.01  91 24.40     0.00   0  0.00 
  362.32  80 28.23    20.69   6  0.13 
  450.71  61 26.67     0.00   0  0.00 
  490.69  55 26.26     0.00   0  0.00 
  475.06  59 27.55     0.00   0  0.00 
  233.80 120 27.48     8.50   1  0.01 
  423.70  64 26.31     0.00   0  0.00 
  431.71  45 18.80     0.00   0  0.00 
  192.97  23  4.37     0.00   0  0.00 
  227.26  19  4.30     0.00   0  0.00 
  415.55  41 16.64     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  509.43  45 22.48    12.25   1  0.01 
  206.66  77 15.62    12.57   1  0.02 
   49.63 427 20.69    24.00   0  0.01 
  602.57  41 24.35     0.00   0  0.00 
  514.16  39 19.38     0.00   0  0.00 
  597.55  34 19.60     0.00   0  0.00 
  392.47  67 25.52     0.00   0  0.00 
  216.45 107 22.61     9.25   2  0.01 
  519.80  37 18.57     0.00   0  0.00 
  503.73  55 27.25     0.00   0  0.00 
  594.38  34 19.73     0.00   0  0.00 
  574.42  35 19.63     0.00   0  0.00 
   59.68 406 23.63     0.00   0  0.00 
   59.53 415 24.14     0.00   0  0.00 
   47.33 724 33.45     0.00   0  0.00 
  625.56  40 24.68     0.00   0  0.00 
  616.51  60 35.87     0.00   0  0.00 
  250.53 106 25.88     0.00   0  0.00 
   44.67 609 26.56     0.00   0  0.00 
  116.74 288 32.78     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  611.25  55 33.07     0.00   0  0.00 
  600.57  38 22.05     0.00   0  0.00 
  795.66  28 21.91     0.00   0  0.00 
  581.93  40 22.84     0.00   0  0.00 
  683.04  45 30.01     0.00   0  0.00 
  236.68 140 32.40     0.00   0  0.00 
  669.92  49 31.92     0.00   0  0.00 
  620.78  48 29.33     0.00   0  0.00 
  496.25  39 18.89     0.00   0  0.00 
  611.32  40 24.00     0.00   0  0.00 
  629.68  58 35.78     0.00   0  0.00 
  385.23  93 35.05     0.00   0  0.00 
  548.47  61 32.56     0.00   0  0.00 
  599.90  41 24.02     0.00   0  0.00 
  573.37  61 34.03     4.00   1  0.00 
  590.74  52 29.99     0.00   0  0.00 
  503.89  78 38.37     0.00   0  0.00 
  605.74  50 29.57     0.00   0  0.00 
  254.75  90 22.28    14.25   2  0.03 
  226.47 100 22.15     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  162.29  37  5.93     0.00   0  0.00 
  163.71  28  4.48     0.00   0  0.00 
  362.75  31 10.84     0.00   0  0.00 
  634.15  44 26.99     0.00   0  0.00 
  369.00  90 32.43     0.00   0  0.00 
  626.73  60 36.72     0.00   0  0.00 
  688.92  50 33.77     0.00   0  0.00 
  673.21  47 30.77     0.00   0  0.00 
  676.08  48 31.82     8.82  14  0.12 
  532.68  47 24.34     0.00   0  0.00 
  379.47  93 34.46    13.75   2  0.02 
  605.76  51 30.05     0.00   0  0.00 
  563.87  56 30.94     0.00   0  0.00 
  640.44  40 25.13     0.00   0  0.00 
   68.97 458 30.85     0.00   0  0.00 
  379.32  78 29.04     0.00   0  0.00 
   73.20 485 34.69     0.00   0  0.00 
  453.02  72 31.67     0.00   0  0.00 
  428.88  70 29.48     0.00   0  0.00 
  576.00  62 34.98     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  488.00  58 27.44     0.00   0  0.00 
  557.89  48 26.26     0.00   0  0.00 
  388.04  91 34.30     0.00   0  0.00 
  143.81 350 49.17     0.00   0  0.00 
  185.78 164 29.71     0.00   0  0.00 
  607.80  44 25.99     0.00   0  0.00 
  356.04 110 38.38     0.00   0  0.00 
  615.94  50 30.31     0.00   0  0.00 
  636.52  47 28.96     0.00   0  0.00 
  674.45  51 33.71     0.00   0  0.00 
  212.53 149 30.92     0.00   0  0.00 
  607.55  52 30.60     0.00   0  0.00 
  341.42  87 28.87     0.00   0  0.00 
  619.93  56 33.77     0.00   0  0.00 
   43.56 846 35.99     0.00   0  0.00 
  137.62 365 49.02     0.00   0  0.00 
   86.39 513 43.32     0.00   0  0.00 
  167.82 192 31.49     0.00   0  0.00 
   79.61 494 38.43     0.00   0  0.00 
  307.58  97 29.13     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  363.20  80 28.51     0.00   0  0.00 
  321.19  98 30.79     0.00   0  0.00 
  202.95 177 35.15     0.00   0  0.00 
  362.70 116 41.07     0.00   0  0.00 
  356.70  95 32.94     0.00   0  0.00 
  412.56  94 37.70     0.00   0  0.00 
  345.34 125 42.08     0.00   0  0.00 
  275.86 137 36.79     0.00   0  0.00 
  261.50 209 53.31     0.00   0  0.00 
  270.37 122 32.31     0.00   0  0.00 
  216.04  94 19.78     0.00   0  0.00 
  289.82 101 28.47     0.00   0  0.00 
   52.18 595 30.32     0.00   0  0.00 
  265.57 110 28.41     0.00   0  0.00 
  124.51 210 25.58     0.00   0  0.00 
  120.12 187 21.91     0.00   0  0.00 
  294.62 115 33.03     0.00   0  0.00 
   70.19 519 35.57     0.00   0  0.00 
   69.44 449 30.46     0.00   0  0.00 
   54.78 445 23.81     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   73.43 473 33.93     0.00   0  0.00 
  123.14 309 37.15     0.00   0  0.00 
   70.62 403 27.77     0.00   0  0.00 
   66.69 439 28.56     0.00   0  0.00 
  168.93 158 26.09     0.00   0  0.00 
  106.24 195 20.27     0.00   0  0.00 
  217.11 133 28.19     0.00   0  0.00 
  322.71  84 26.53     0.00   0  0.00 
   74.17 341 24.73     0.00   0  0.00 
  112.43 250 27.49     0.00   0  0.00 
   80.86 278 21.93     0.00   0  0.00 
  274.12  66 17.77     0.00   0  0.00 
  299.88  81 23.60     0.00   0  0.00 
  317.97  66 20.55     0.00   0  0.00 
  146.88 134 19.16     0.00   0  0.00 
   99.39 205 19.91     0.00   0  0.00 
   43.25 618 26.11     0.00   0  0.00 
   36.33 684 24.26     0.00   0  0.00 
   35.64 730 25.39     0.00   0  0.00 
   34.99 625 21.37     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   34.51 808 27.22     0.00   0  0.00 
   45.24 530 23.43     0.00   0  0.00 
   37.32 751 27.35     0.00   0  0.00 
   33.58 756 24.78     0.00   0  0.00 
   35.92 723 25.36     0.00   0  0.00 
   36.97 590 21.30     0.00   0  0.00 
   34.99 790 27.01     0.00   0  0.00 
   32.87 870 27.93     0.00   0  0.00 
   48.64 549 26.06     0.00   0  0.00 
   51.81 440 22.27     0.00   0  0.00 
  115.23 210 23.58     0.00   0  0.00 
   34.34 673 22.58     0.00   0  0.00 
   39.24 796 30.52     0.00   0  0.00 
   37.13 813 29.50     0.00   0  0.00 
  315.84  92 28.37     0.00   0  0.00 
   36.13 824 29.07     0.00   0  0.00 
   47.40 592 27.41     0.00   0  0.00 
   35.49 1291 44.73     0.00   0  0.00 
  279.01  86 23.37     0.00   0  0.00 
  187.11 139 25.32     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   34.36 1109 37.21     0.00   0  0.00 
   32.92 1128 36.27     0.00   0  0.00 
   31.71 1225 37.95     8.00   2  0.02 
   42.85 744 31.12    50.96 157  7.83 
   42.45 794 32.90    74.13 235 17.04 
  109.53 198 21.13    14.35   6  0.08 
  115.42 237 26.73     0.00   0  0.00 
   33.57 852 27.94     0.00   0  0.00 
   43.99 483 20.76     0.00   0  0.00 
   47.38 453 20.98     0.00   0  0.00 
   66.39 375 24.31     0.00   0  0.00 
   44.21 518 22.34     0.00   0  0.00 
  116.46 187 21.29     0.00   0  0.00 
  191.78 112 20.97     0.00   0  0.00 
  233.17  92 21.03     0.00   0  0.00 
  214.51 123 25.76     0.00   0  0.00 
  189.71 121 22.45     0.00   0  0.00 
   38.28 647 24.20     0.00   0  0.00 
   51.29 437 21.89     0.00   0  0.00 
   39.20 614 23.51     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   36.79 529 19.00     0.00   0  0.00 
   42.55 505 21.00     0.00   0  0.00 
  228.21  97 21.57     0.00   0  0.00 
  113.49 230 25.47     0.00   0  0.00 
  200.47 114 22.28     0.00   0  0.00 
  230.60 106 23.91   129.24  35  4.47 
  234.16 104 23.87     0.00   0  0.00 
  194.94  91 17.40     0.00   0  0.00 
  188.73 105 19.35     0.00   0  0.00 
  191.80 134 25.13    12.50   2  0.03 
  314.06  76 23.37     0.00   0  0.00 
  173.83 143 24.30     0.00   0  0.00 
  193.82 120 22.74     0.00   0  0.00 
  195.62 102 19.56     0.00   0  0.00 
  184.02 133 23.93     0.00   0  0.00 
  166.18 119 19.37     0.00   0  0.00 
  117.83 179 20.55     0.00   0  0.00 
  180.93 107 18.90     0.00   0  0.00 
   88.99 223 19.41     0.00   0  0.00 
  309.74  73 22.08     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   64.22 372 23.36     0.00   0  0.00 
   35.42 779 26.93     0.00   0  0.00 
   42.98 629 26.40     0.00   0  0.00 
   33.96 594 19.70     0.00   0  0.00 
   49.54 490 23.71     0.00   0  0.00 
  207.04  74 15.04     0.00   0  0.00 
  287.18  85 23.83     0.00   0  0.00 
  264.84  79 20.38     0.00   0  0.00 
  102.99 222 22.30     0.00   0  0.00 
   81.18 267 21.14     0.00   0  0.00 
   56.61 389 21.50     0.00   0  0.00 
   33.76 729 24.04     0.00   0  0.00 
   31.30 794 24.26     0.00   0  0.00 
   34.71 618 20.95     0.00   0  0.00 
   37.98 635 23.56     0.00   0  0.00 
  290.57  77 21.96     0.00   0  0.00 
  437.08  53 22.71     0.00   0  0.00 
  371.81  59 21.49     0.00   0  0.00 
  374.96  54 19.70     0.00   0  0.00 
  304.17  69 20.43     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  171.05 115 19.14     0.00   0  0.00 
  416.78  58 23.44     0.00   0  0.00 
  203.85 134 26.59     0.00   0  0.00 
  179.91 156 27.33     0.00   0  0.00 
   57.44 422 23.65     0.00   0  0.00 
   40.09 700 27.41     0.00   0  0.00 
  160.08 142 22.23     0.00   0  0.00 
  319.49  66 20.59     4.00   0  0.00 
  366.02  63 22.66     0.00   0  0.00 
  374.89  62 22.70     0.00   0  0.00 
  284.63  75 20.79     0.00   0  0.00 
   36.05 317 11.14     0.00   0  0.00 
  104.80 119 12.18     8.36   1  0.01 
  130.38  62  7.87     0.00   0  0.00 
  106.06 100 10.40     0.00   0  0.00 
  346.00  24  7.97     0.00   0  0.00 
  280.97  38 10.31     0.00   0  0.00 
  221.00  50 10.87     0.00   0  0.00 
  167.85  73 12.03     0.00   0  0.00 
   50.22 153  7.52     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   47.73 438 20.40     0.00   0  0.00 
  141.94 111 15.33    74.83   8  0.60 
  214.35  40  8.33     0.00   0  0.00 
   89.18  64  5.59     0.00   0  0.00 
  127.90  76  9.52     0.00   0  0.00 
   67.50 198 13.04    12.71   1  0.02 
  118.25  71  8.17     0.00   0  0.00 
  139.99  61  8.28     0.00   0  0.00 
   43.16 236  9.96     0.00   0  0.00 
   56.88 210 11.66     0.00   0  0.00 
   70.72 191 13.20     0.00   0  0.00 
   49.81 395 19.24     0.00   0  0.00 
   39.05 342 13.03     0.00   0  0.00 
   52.03 271 13.78    16.00   0  0.00 
   55.60 332 18.03     0.00   0  0.00 
   40.21 469 18.40     0.00   0  0.00 
  219.24 116 24.83     0.00   0  0.00 
  253.50 110 27.23    12.25   1  0.01 
  334.27  64 21.02     0.00   0  0.00 
   47.42 639 29.57     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   37.31 832 30.32     0.00   0  0.00 
   89.17 282 24.52     0.00   0  0.00 
  345.42  71 24.08     0.00   0  0.00 
   67.67 488 32.22     0.00   0  0.00 
  128.02 199 24.82     0.00   0  0.00 
  381.42  69 25.85     0.00   0  0.00 
  366.74  77 27.50     0.00   0  0.00 
  243.38 102 24.24     0.00   0  0.00 
  301.71 101 29.64     0.00   0  0.00 
  140.24 193 26.43     0.00   0  0.00 
  245.55 101 24.31     0.00   0  0.00 
  256.20  94 23.47     0.00   0  0.00 
  202.38 122 24.19     0.00   0  0.00 
  297.43 113 32.82     0.00   0  0.00 
  249.86 151 36.88     0.00   0  0.00 
  169.26 182 30.11     0.00   0  0.00 
  190.28 176 32.66     0.00   0  0.00 
  170.46 180 29.99     0.00   0  0.00 
  200.01 147 28.78     0.00   0  0.00 
  247.34 129 31.11     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  232.91 113 25.69     0.00   0  0.00 
  245.78 117 28.03     0.00   0  0.00 
  194.48 143 27.10     0.00   0  0.00 
  219.06 122 26.00     0.00   0  0.00 
  179.92 138 24.21     0.00   0  0.00 
  163.47 147 23.46     0.00   0  0.00 
  210.78 100 20.66     0.00   0  0.00 
   36.55 394 14.06     0.00   0  0.00 
   32.51 822 26.09     0.00   0  0.00 
   30.89 747 22.54     0.00   0  0.00 
   32.04 882 27.61     8.00   1  0.01 
   32.05 787 24.62     0.00   0  0.00 
   34.24 760 25.42     0.00   0  0.00 
   44.52 548 23.80     0.00   0  0.00 
   48.26 489 23.03     0.00   0  0.00 
  139.82 149 20.34     0.00   0  0.00 
  217.16  96 20.44     0.00   0  0.00 
  245.97  96 23.15     0.00   0  0.00 
   44.94 823 36.11     0.00   0  0.00 
   39.85 530 20.64     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   41.74 478 19.49     0.00   0  0.00 
   59.64 377 21.98     0.00   0  0.00 
   79.03 250 19.32     0.00   0  0.00 
  147.82 167 24.13     0.00   0  0.00 
  169.80 143 23.64     0.00   0  0.00 
   57.73 377 21.28     0.00   0  0.00 
  154.24 141 21.26     0.00   0  0.00 
  138.37 152 20.53     0.00   0  0.00 
   54.79 272 14.56     0.00   0  0.00 
   93.64 224 20.50     0.00   0  0.00 
  308.33  87 26.07     0.00   0  0.00 
  300.39  74 21.59     0.00   0  0.00 
   45.33 426 18.85     0.00   0  0.00 
   70.28 152 10.44     0.00   0  0.00 
  294.89  86 24.71     0.00   0  0.00 
  222.98 129 28.04     0.00   0  0.00 
   88.29 260 22.38     0.00   0  0.00 
   41.69 350 14.24     0.00   0  0.00 
   42.56 522 21.71     0.00   0  0.00 
   77.89 310 23.61     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  230.75  99 22.40     0.00   0  0.00 
   67.37 328 21.56     0.00   0  0.00 
  286.34  77 21.53     0.00   0  0.00 
  292.88  65 18.53     0.00   0  0.00 
   76.88 226 16.95     0.00   0  0.00 
  229.77  45 10.05     0.00   0  0.00 
  328.33  55 17.63     0.00   0  0.00 
  319.26  62 19.20     0.00   0  0.00 
   79.16  63  4.89     0.00   0  0.00 
  162.67  68 10.80     0.00   0  0.00 
  359.73  96 33.86     0.00   0  0.00 
  100.61 229 22.50     0.00   0  0.00 
   37.00 872 31.50     0.00   0  0.00 
  109.37 283 30.28     0.00   0  0.00 
  424.57  63 26.28     0.00   0  0.00 
  484.61  68 32.36     0.00   0  0.00 
   40.20 678 26.61     0.00   0  0.00 
  103.54 308 31.12     0.00   0  0.00 
  443.00  62 26.64     0.00   0  0.00 
  407.33  72 28.63     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  541.06  57 30.01     0.00   0  0.00 
  268.44  77 20.13     0.00   0  0.00 
  504.55  45 22.17     0.00   0  0.00 
  132.26 147 18.95     0.00   0  0.00 
  526.65  50 25.91     0.00   0  0.00 
  544.01  54 28.68     0.00   0  0.00 
  119.07 213 24.79     0.00   0  0.00 
   67.71 300 19.85     0.00   0  0.00 
  316.10  54 16.66     0.00   0  0.00 
  214.82 119 24.87     0.00   0  0.00 
  422.49  52 21.37     0.00   0  0.00 
  490.70  62 29.71     0.00   0  0.00 
  557.28  54 29.28     0.00   0  0.00 
  303.05 109 32.37     0.00   0  0.00 
   38.60 708 26.70     0.00   0  0.00 
   37.58 756 27.73     0.00   0  0.00 
   41.23 686 27.64     0.00   0  0.00 
  131.97 212 27.37     0.00   0  0.00 
   40.17 697 27.36     0.00   0  0.00 
   39.55 828 31.99     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   80.14 252 19.75     0.00   0  0.00 
   44.08 447 19.26     0.00   0  0.00 
   49.48 375 18.10     0.00   0  0.00 
   66.44 327 21.19     0.00   0  0.00 
   59.38 357 20.68     0.00   0  0.00 
   39.22 430 16.46     0.00   0  0.00 
   39.80 456 17.74     0.00   0  0.00 
   59.87 448 26.18     0.00   0  0.00 
   37.59 591 21.69     0.00   0  0.00 
   36.81 611 21.97     0.00   0  0.00 
   73.00 341 24.32     0.00   0  0.00 
   38.42 533 19.99     0.00   0  0.00 
   51.77 420 21.23     0.00   0  0.00 
  138.51 221 29.89     0.00   0  0.00 
  125.51 192 23.48     0.00   0  0.00 
  109.66 208 22.27     0.00   0  0.00 
  171.06 148 24.65     0.00   0  0.00 
  119.52 195 22.73     0.00   0  0.00 
   60.07 459 26.93     0.00   0  0.00 
   49.86 554 26.97     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  402.47  67 26.25     0.00   0  0.00 
  115.63 235 26.55     0.00   0  0.00 
   47.94 543 25.40     0.00   0  0.00 
   51.20 481 24.05     0.00   0  0.00 
   93.63 286 26.11     0.00   0  0.00 
   40.67 442 17.55     0.00   0  0.00 
   57.74 472 26.63     0.00   0  0.00 
  103.21 226 22.77     0.00   0  0.00 
   86.94 258 21.92     0.00   0  0.00 
   41.98 595 24.38     0.00   0  0.00 
   84.27 226 18.61     0.00   0  0.00 
   64.72 418 26.41     0.00   0  0.00 
   47.38 416 19.24     0.00   0  0.00 
  140.20  88 11.99     0.00   0  0.00 
   45.75 302 13.51     0.00   0  0.00 
   90.06 241 21.19     0.00   0  0.00 
   41.85 441 18.04     0.00   0  0.00 
   39.33 545 20.92     0.00   0  0.00 
   43.73 483 20.62     0.00   0  0.00 
   96.31 268 25.24     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   63.58 421 26.12     0.00   0  0.00 
  193.68  97 18.30     0.00   0  0.00 
  423.58  59 24.31     0.00   0  0.00 
  151.53 183 27.05     0.00   0  0.00 
   95.05 147 13.66     8.00   1  0.01 
  100.65 151 14.88     0.00   0  0.00 
   96.41 234 22.03     0.00   0  0.00 
   92.59 235 21.22     0.00   0  0.00 
   52.37 628 32.14     0.00   0  0.00 
   56.05 675 36.94     0.00   0  0.00 
   55.76 576 31.36     0.00   0  0.00 
   51.18 727 36.32     0.00   0  0.00 
   80.31 427 33.48     0.00   0  0.00 
   83.01 496 40.20     0.00   0  0.00 
   86.10 419 35.24    57.91  17  0.97 
   43.29 753 31.84    29.52  11  0.31 
   66.62 544 35.42     8.86   1  0.01 
  107.50 331 34.70     0.00   0  0.00 
   54.30 694 36.82     0.00   0  0.00 
   42.85 713 29.82     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   35.92 985 34.57     0.00   0  0.00 
   54.74 659 35.21     0.00   0  0.00 
   41.29 979 39.49     0.00   0  0.00 
   43.08 725 30.49     0.00   0  0.00 
   52.21 588 29.96     0.00   0  0.00 
   39.77 807 31.35     0.00   0  0.00 
   36.28 900 31.89     0.00   0  0.00 
   32.65 1008 32.15     0.00   0  0.00 
   37.57 658 24.15     0.00   0  0.00 
   37.46 656 23.98     0.00   0  0.00 
   34.37 835 28.03     0.00   0  0.00 
   43.82 628 26.88     4.00   0  0.00 
   29.46 866 24.92     0.00   0  0.00 
   31.92 920 28.66     0.00   0  0.00 
   34.14 847 28.25     9.17   2  0.02 
   32.02 929 29.05     0.00   0  0.00 
   32.62 980 31.21     0.00   0  0.00 
   33.22 927 30.07     0.00   0  0.00 
   39.37 664 25.52     0.00   0  0.00 
   56.04 471 25.76     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   33.82 1029 33.99     0.00   0  0.00 
   30.01 1177 34.50     0.00   0  0.00 
   32.43 937 29.66     0.00   0  0.00 
   30.04 860 25.21     0.00   0  0.00 
   31.71 916 28.37     0.00   0  0.00 
   32.14 917 28.79     0.00   0  0.00 
   32.61 1041 33.14     0.00   0  0.00 
   44.10 482 20.76     0.00   0  0.00 
   31.53 1185 36.50     0.00   0  0.00 
   36.92 1089 39.26     0.00   0  0.00 
   31.30 1188 36.33     0.00   0  0.00 
   29.99 1212 35.49     0.00   0  0.00 
   30.77 1413 42.46     9.62   9  0.08 
   34.90 1303 44.40    11.71   1  0.02 
   37.46 1000 36.60     0.00   0  0.00 
   31.31 1263 38.62     0.00   0  0.00 
   32.22 1417 44.59     0.00   0  0.00 
   46.56 552 25.09     0.00   0  0.00 
   38.54 699 26.29     0.00   0  0.00 
   36.92 761 27.43     0.00   0  0.00 
          disk0           disk1 
