Gledis-server -config=rocksdb.conf
2014/08/29 18:14:24
 %CPU %MEM
189.6  9.4


2014/08/29 18:14:34
 %CPU %MEM
179.7  9.4


2014/08/29 18:14:44
 %CPU %MEM
220.8  9.4


2014/08/29 18:14:54
 %CPU %MEM
179.0  9.6


2014/08/29 18:15:04
 %CPU %MEM
187.2 10.0


2014/08/29 18:15:14
 %CPU %MEM
137.0 10.1


2014/08/29 18:15:24
 %CPU %MEM
219.6 10.2


2014/08/29 18:15:34
 %CPU %MEM
 77.4 10.7


2014/08/29 18:15:45
 %CPU %MEM
197.3 10.6


2014/08/29 18:15:57
 %CPU %MEM
188.7 10.1


2014/08/29 18:16:07
 %CPU %MEM
206.9 10.0


2014/08/29 18:16:18
 %CPU %MEM
115.9 10.2


2014/08/29 18:16:28
 %CPU %MEM
156.4 10.2


2014/08/29 18:16:40
 %CPU %MEM
 44.7 10.0


2014/08/29 18:16:50
 %CPU %MEM
 28.7  9.3


2014/08/29 18:17:00
 %CPU %MEM
113.2  9.0


2014/08/29 18:17:10
 %CPU %MEM
202.2  8.0


2014/08/29 18:17:21
 %CPU %MEM
191.2  8.4


2014/08/29 18:17:31
 %CPU %MEM
  4.5  7.2


2014/08/29 18:17:42
 %CPU %MEM
 64.2  6.4


2014/08/29 18:17:54
 %CPU %MEM
146.0  6.8


2014/08/29 18:18:07
 %CPU %MEM
 46.2  6.6


2014/08/29 18:18:18
 %CPU %MEM
213.1  6.3


2014/08/29 18:18:28
 %CPU %MEM
194.7  6.7


2014/08/29 18:18:38
 %CPU %MEM
199.1  7.0


2014/08/29 18:18:48
 %CPU %MEM
184.8  7.4


2014/08/29 18:19:00
 %CPU %MEM
128.8  7.5


2014/08/29 18:19:11
 %CPU %MEM
 52.0  7.4


2014/08/29 18:19:22
 %CPU %MEM
171.6  7.1


2014/08/29 18:19:32
 %CPU %MEM
 47.4  7.4


2014/08/29 18:19:42
 %CPU %MEM
 51.6  7.5


2014/08/29 18:19:52
 %CPU %MEM
 81.5  6.3


2014/08/29 18:20:02
 %CPU %MEM
158.5  6.4


2014/08/29 18:20:12
 %CPU %MEM
174.8  6.4


2014/08/29 18:20:22
 %CPU %MEM
182.4  6.6


2014/08/29 18:20:32
 %CPU %MEM
113.1  6.8


2014/08/29 18:20:42
 %CPU %MEM
168.5  6.8


2014/08/29 18:20:52
 %CPU %MEM
234.7  6.9


2014/08/29 18:21:06
 %CPU %MEM
  2.3  6.7


2014/08/29 18:21:16
 %CPU %MEM
170.9  6.8


2014/08/29 18:21:26
 %CPU %MEM
124.1  6.9


2014/08/29 18:21:36
 %CPU %MEM
193.1  7.0


2014/08/29 18:21:47
 %CPU %MEM
 65.2  6.6


2014/08/29 18:21:57
 %CPU %MEM
 23.9  7.0


2014/08/29 18:22:07
 %CPU %MEM
 63.9  6.9


2014/08/29 18:22:17
 %CPU %MEM
